guest,50,2025-06-01,03:33:27
guest,70,2025-06-01,03:36:32
guest,40,2025-06-01,03:42:02
berk,40,2025-06-01,03:42:59
guest,50,2025-06-01,03:44:59
guest,0,2025-06-01,03:46:23
berk,0,2025-06-01,03:47
guest,40,2025-06-01,03:47:28
berk,0,2025-06-01,03:48:23
berk,0,2025-06-01,03:48:27
berk,0,2025-06-01,03:50:45
berk,0,2025-06-01,03:51:01
berk,70,2025-06-01,03:58:31
berk,0,2025-06-01,03:58:50
berk,0,2025-06-01,03:58:56
berk,70,2025-06-01,04:03:03
berk,70,2025-06-01,04:03:23
berk,10,2025-06-01,04:03:34
berk,0,2025-06-01,05:15:26
berk,20,2025-06-01,05:21:21
berk,40,2025-06-01,05:24:10
berk,20,2025-06-01,05:34:34
berk,10,2025-06-01,05:34:57
berk,0,2025-06-04,21:34:17
berk,0,2025-06-04,21:35:18
berk,0,2025-06-04,21:35:25
berk,0,2025-06-04,21:35:28
berk,0,2025-06-04,21:35:30
berk,0,2025-06-04,21:35:32
berk,0,2025-06-04,21:35:34
berk,0,2025-06-04,21:35:37
